Sample ID,Level,Day,Run,Replicate,Result,Units
QC-Low,Low,1,1,1,5.20,%
QC-Low,Low,1,1,2,5.24,%
QC-Low,Low,1,1,3,5.18,%
QC-Low,Low,1,2,1,5.27,%
QC-Low,Low,1,2,2,5.22,%
QC-Low,Low,1,2,3,5.25,%
QC-Low,Low,2,1,1,5.19,%
QC-Low,Low,2,1,2,5.21,%
QC-Low,Low,2,1,3,5.23,%
QC-Low,Low,2,2,1,5.28,%
QC-Low,Low,2,2,2,5.26,%
QC-Low,Low,2,2,3,5.24,%
QC-Low,Low,3,1,1,5.17,%
QC-Low,Low,3,1,2,5.20,%
QC-Low,Low,3,1,3,5.22,%
QC-Low,Low,3,2,1,5.29,%
QC-Low,Low,3,2,2,5.25,%
QC-Low,Low,3,2,3,5.27,%
QC-High,High,1,1,1,9.78,%
QC-High,High,1,1,2,9.82,%
QC-High,High,1,1,3,9.75,%
QC-High,High,1,2,1,9.86,%
QC-High,High,1,2,2,9.83,%
QC-High,High,1,2,3,9.88,%
QC-High,High,2,1,1,9.80,%
QC-High,High,2,1,2,9.77,%
QC-High,High,2,1,3,9.84,%
QC-High,High,2,2,1,9.89,%
QC-High,High,2,2,2,9.85,%
QC-High,High,2,2,3,9.87,%
QC-High,High,3,1,1,9.76,%
QC-High,High,3,1,2,9.81,%
QC-High,High,3,1,3,9.79,%
QC-High,High,3,2,1,9.90,%
QC-High,High,3,2,2,9.86,%
QC-High,High,3,2,3,9.88,%
